,picture,date,like,tag
0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/178134350_2014315772044562_2659577245649133240_n.jpg?tp=1&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=uHCkW7Bvy0AAX-B7JaN&edm=AP_V10EBAAAA&ccb=7-4&oh=3b01a8c68c378ed2f4a4ec17708e3e2d&oe=60B11327&_nc_sid=4f375e,2021년 4월 27일,"좋아요 1,634개", 식음연구소 뉴프로젝트 lucakitchen grandopen lobsterroll 문어전복명란솥밥 떡볶이 치킨버거 김치볶음밥 seafoodplatter nomadicsicialdining luca831 casia 루카키친 식음연구소 rnd 운영팀
1,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/179483447_952146755597698_8610336265045551157_n.jpg?tp=1&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=_XnlPAu2YWcAX8rMPaN&edm=AP_V10EBAAAA&ccb=7-4&oh=383b9ec7e227faf8f3eda028031d7d96&oe=60B07EAA&_nc_sid=4f375e,2021년 4월 29일,좋아요 144개, 김치볶음밥 비비고두툼동그랑땡 동그랑땡 꼬들꼬들밥알
2,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/178625283_2655874224698703_2471257663123723593_n.jpg?tp=1&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=f10R7F7FeeMAX_LWlMD&edm=AP_V10EBAAAA&ccb=7-4&oh=b1d3b39cee5bfc03cb33313fe09d8e8b&oe=60AF9E29&_nc_sid=4f375e,2021년 4월 29일,좋아요 170개, 혼밥 김볶밥 혼밥 김치볶음밥 점심메뉴 계란후라이 샐러리 마요네즈 인스타푸드 볶음밥 집밥 푸드스타그램 요리하는여자 목요일 치즈를깜빡했네
3,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/177012709_483119943103400_6822178491433006713_n.jpg?tp=1&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=xkG-bK91N-oAX_nrghE&edm=AP_V10EBAAAA&ccb=7-4&oh=00182266944879da51e90cf7c3670d49&oe=60AFD574&_nc_sid=4f375e,2021년 4월 22일,"좋아요 1,048개", 하나우동 철판볶음밥 김치볶음밥 압구정맛집 피그웨이브
4,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/178115246_821813455106989_7857617521637726337_n.jpg?tp=1&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=OWmFwxD7rZUAX_aFntP&edm=AP_V10EBAAAA&ccb=7-4&oh=39209444bfc2e0116951c7dcf790e8ec&oe=60AFE5EB&_nc_sid=4f375e,2021년 4월 28일,좋아요 908개, 충격의김치볶음밥 중독성 김치볶음밥 스팸김치볶음밥 햄김치볶음밥 계란후라이 옴뇸뇸 오늘뭐먹지 먹방 JMT 먹스타 푸드 음식 foodie 밥스타그램 집밥 홈쿡 instaeats instafood 먹스타그램 다이어트 일상 육아 남매맘 소통 foodporn foodfi
5,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/168379195_110418044380151_8427065532357314882_n.jpg?tp=1&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=or2knYtgcrYAX8VcIeW&edm=AP_V10EBAAAA&ccb=7-4&oh=63c64029466d907c4a3254179e2e3c22&oe=60B04F6D&_nc_sid=4f375e,2021년 4월 5일,좋아요 146개, 김치볶음밥 소떡소떡
6,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/179226670_256307526191454_4321442701059070782_n.jpg?tp=1&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=TFnQq6WwmA4AX_HK7Jb&edm=AP_V10EBAAAA&ccb=7-4&oh=b3160891168e4ac3d6afc0b64eecc338&oe=60AF8BB6&_nc_sid=4f375e,2021년 4월 29일,좋아요 149개, 빼박스밀
7,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/175969390_5293275647412238_1942877845490485936_n.jpg?tp=1&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=aAzH1kuR-v8AX9Re4YG&edm=AP_V10EBAAAA&ccb=7-4&oh=bfd18ff114cf98ce3752bf374dbad764&oe=60B13E4A&_nc_sid=4f375e,2021년 4월 25일,좋아요 863개, 오늘아침 쿠진 쿠집 김치볶음밥 김뽁
8,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/178958708_322326636208604_4399381637912064757_n.jpg?tp=1&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=KRkZYWproxoAX9it2v-&edm=AP_V10EBAAAA&ccb=7-4&oh=17664f69b2bbfda5a83ce3faafdf90a8&oe=60B20404&_nc_sid=4f375e,2021년 4월 28일,좋아요 149개,
9,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/179275801_140319444769670_3403737932603596043_n.jpg?tp=1&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=_rW4y7SrtZEAX-p-_wB&edm=AP_V10EBAAAA&ccb=7-4&oh=5dea3a946c032b26b6da36ddf38d2c83&oe=60B13BC3&_nc_sid=4f375e,2021년 4월 30일,좋아요 128개, 점심 금호동알렉스 파스타 김치볶음밥 초밥 콰트로치즈피자 백암맛집 용인맛집 이나카야 먹스타그램 맛스타그램 맛집추천 foodies pasta pizza sushi
